Sentence,NER
-DOCSTART-,O
Palestinians accuse PA of banning books .,I-MISC O I-ORG O O O O
"NABLUS , West Bank 1996-08-22",I-LOC O I-LOC I-LOC O
A West Bank bookseller charged on Thursday that the Palestinian Information Ministry has forced him to sign an undertaking not to distribute books written by critics of Israeli-PLO self-rule deals .,O I-LOC I-LOC O O O O O O I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O I-MISC O O O
""" They made me sign an undertaking not to sell the books to anyone at the risk of legal action .",O O O O O O O O O O O O O O O O O O O O O
"One official told me ' you have to either destroy the books or return them to Amman ' , "" Daoud Makkawi , owner of the Nablus-based al-Risala bookshop , told Reuters .",O O O O O O O O O O O O O O O O I-LOC O O O I-PER I-PER O O O O I-MISC I-LOC O O O I-ORG O
"He said ministry officials made him sign this a few weeks ago after he brought about a dozen copies from Jordan of a book by Edward Said , a prominent scholar at New York City 's Columbia University .",O O O O O O O O O O O O O O O O O O O O I-LOC O O O O I-PER I-PER O O O O O I-LOC I-LOC I-LOC O I-ORG I-ORG O
"Said , a U.S. citizen of Palestinian origin , has been an outspoken critic of the 1993 Israeli-PLO self-rule deal and has written at least two books on the accord .",I-PER O O I-LOC O O I-MISC O O O O O O O O O O I-MISC O O O O O O O O O O O O O
On Wednesday a bookseller in the West Bank town of Ramallah said police about a month ago confiscated several copies of two of Said 's books on the Israel-PLO self-rule deals .,O O O O O O I-LOC I-LOC O O I-LOC O O O O O O O O O O O O I-PER O O O O I-MISC O O O
Palestinian Information Ministry Director-General Mutawakel Taha denied that ministry officials forced anyone to sign any undertaking and insisted that the Palestinian Authority has no plans to censor books .,I-ORG I-ORG I-ORG O I-PER I-PER O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O O
""" There is no strategy to ban books or to suppress freedom of expression in any form whatsoever , "" Taha told Reuters .",O O O O O O O O O O O O O O O O O O O O I-PER O I-ORG O
But Taha said that the absence of relevent legislations may have resulted in some mistakes by some security officials .,O I-PER O O O O O O O O O O O O O O O O O O
""" This may explain some mistakes against some journalists and writers , "" he said .",O O O O O O O O O O O O O O O O
"Daoud said books by other authors , including British Journalist Patrick Seale , were also banned .",I-PER O O O O O O O I-MISC O I-PER I-PER O O O O O
He said that security officials often visit his shop to make sure he was not selling the books .,O O O O O O O O O O O O O O O O O O O
""" I think this is a bad beginning .",O O O O O O O O O
"If we have confidence , why should we be afraid of the other opinion ? """,O O O O O O O O O O O O O O O O
Daoud said .,I-PER O O
Thousands of books were banned from sale in the West Bank and Gaza Strip by the Israeli military authorities before the Jewish state handed over parts of the two areas to the PLO under a self-rule deal in 1994 .,O O O O O O O O O I-LOC I-LOC O I-LOC I-LOC O O I-MISC O O O O I-MISC O O O O O O O O O O I-ORG O O O O O O O
-DOCSTART-,O
Egypt blames Istanbul control tower for accident .,I-LOC O I-LOC O O O O O
CAIRO 1996-08-22,I-LOC O
The chairman of national carrier EgyptAir on Thursday blamed the control tower at Istanbul airport for the EgyptAir plane accident .,O O O O O I-ORG O O O O O O O I-LOC O O O I-ORG O O O
"Twenty people were injured on Wednesday when the EgyptAir Boeing 707 overshot the runway , caught fire , hit a taxi and skipped across a road onto a railway line .",O O O O O O O O I-ORG I-MISC O O O O O O O O O O O O O O O O O O O O O
"Chairman Mohamed Fahim Rayyan told a news conference at Cairo airport : "" The control tower should have allocated the plane another runway , instead of the one the plane landed on . """,O I-PER I-PER I-PER O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O
""" The one it landed on is 2,250 metres ( 2,460 yards ) long while the other one if more than 3,000 metres ( 3,300 yards ) long and is less steep , "" he added .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
He said a Turkish civil aviation authority official had made the same point and he noted that a Turkish plane had a similar accident there in 1994 .,O O O I-MISC O O O O O O O O O O O O O O I-MISC O O O O O O O O O
The EgyptAir pilot blamed Turkish airport staff for misleading him .,O I-ORG O O I-MISC O O O O O O
The landing took place after a rainstorm .,O O O O O O O O
""" Its not an accident .",O O O O O O
It 's very wet .,O O O O O
The brake action is very poor and the tower said it 's medium .,O O O O O O O O O O O O O O
"That 's wrong , "" the pilot told private Ihlas news agency in English .",O O O O O O O O O I-ORG O O O I-MISC O
-DOCSTART-,O
Egypt wants nothing to do with Sudanese rulers .,I-LOC O O O O O I-MISC O O
CAIRO 1996-08-22,I-LOC O
"The Egyptian government will have nothing more to do with the Sudanese government because it continues to shelter and support Egyptian militants , President Hosni Mubarak said in a speech on Thursday .",O I-MISC O O O O O O O O O I-MISC O O O O O O O O I-MISC O O O I-PER I-PER O O O O O O O
Egypt says the Sudanese government helped the Moslem militants who tried to kill Mubarak in Addis Ababa last year .,I-LOC O O I-MISC O O O I-MISC O O O O O I-PER O I-LOC I-LOC O O O
It sponsored last week 's U.N. Security Council resolution threatening a ban on Sudanese flights abroad if Khartoum does not hand over three men accused in the Addis Ababa incident .,O O O O O I-ORG I-ORG I-ORG O O O O O I-MISC O O O I-LOC O O O O O O O O O I-LOC I-LOC O O
"The sanctions will come into effect in November if Sudan fails to extradite the men , but Sudan says it cannot hand them over to Ethiopia for trial because they are not in Sudan .",O O O O O O O O O I-LOC O O O O O O O I-LOC O O O O O O O I-LOC O O O O O O O I-LOC O
""" We are still eager that nothing should affect the Sudanese people but we will not deal with the current regime or the Turabi front or whatever , "" Mubarak told a group of academics .",O O O O O O O O O O I-MISC O O O O O O O O O O O O I-PER O O O O O I-PER O O O O O O
"Hassan al-Turabi is the leader of the National Islamic Front , the political force behind the Sudanese government .",I-PER I-PER O O O O O I-ORG I-ORG I-ORG O O O O O O I-MISC O O
""" I do n't want to go into more details than that but there are more details and they are bitter .",O O O O O O O O O O O O O O O O O O O O O O
"There are terrorists they are sheltering and they make Sudanese passorts for them and they get paid by them , "" Mubarak said .",O O O O O O O O O I-MISC O O O O O O O O O O O I-PER O O
"He did not say if Egypt would go so far as to break relations , a step it has been reluctant to take , ostensibly because it would affect ordinary Sudanese .",O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O I-MISC O
-DOCSTART-,O
Turkish shares shed gains in profit-taking .,I-MISC O O O O O O
ISTANBUL 1996-08-22,I-LOC O
"Turkish shares ended lower on Thursday , shedding gains of earlier in the week amid profit-taking sales , brokers said .",I-MISC O O O O O O O O O O O O O O O O O O O O
"The IMKB-100 lost 0.19 percent or 123.89 points to end at 64,178.78 .",O I-MISC O O O O O O O O O O O
Gains so far this week have totalled 2.92 percent .,O O O O O O O O O O
Daily volume dropped to 7.2 trillion lira from Wednesday 's 7.8 trillion lira .,O O O O O O O O O O O O O O
""" Profit-taking sales in the afternoon showed the latest gains of the index were actually a reaction rise .",O O O O O O O O O O O O O O O O O O O
"I expect the market to go as far down as 63,000 tomorrow if sales continue , "" said Burcin Mavituna from Interbank .",O O O O O O O O O O O O O O O O O O I-PER I-PER O I-ORG O
"Brokers said profit taking sales had come especially as the index approached the 65,000 resistance level .",O O O O O O O O O O O O O O O O O
"They said the index could also rise towards 65,000 if the cheap share prices attracted buyers .",O O O O O O O O O O O O O O O O O
"The market had its first resistance at 67,000 if it pierced 65,000 , they added .",O O O O O O O O O O O O O O O O
"The session 's most active shares were those of Isbank gained 300 lira to 8,600 .",O O O O O O O O O I-ORG O O O O O O
"Shares of utility Cukurova lost 3,000 lira to 67,000 .",O O O I-ORG O O O O O O
"The 85-share industrial index lost 0.47 percent to 70,848.86 and the 15-share financial index rose by 0.55 percent to 55,929.89 .",O O O O O O O O O O O O O O O O O O O O O
"Of the 218 shares traded , gainers outdid losers by 100 to 64 and 54 shares were stable .",O O O O O O O O O O O O O O O O O O O
"-- Istanbul Newsroom , +90-212-275 0875 SA",O I-ORG I-ORG O O O O
-DOCSTART-,O
Miss Universe hides behind veil of silence .,I-MISC I-MISC O O O O O O
Kieran Murray,I-PER I-PER
"LAS CRUCES , N.M. 1996-08-22",I-LOC I-LOC O O O
"Miss Universe , Venezuela 's Alicia Machado , left New Mexico on Thursday , refusing to answer questions about her weight or claims she was told to either go on a crash diet or give up her title .",I-MISC I-MISC O I-LOC O I-PER I-PER O O I-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Machado , 19 , flew to Los Angeles after slipping away from the New Mexico desert town of Las Cruces , where she attended the 1996 Miss Teen USA pageant on Wednesday .",I-PER O O O O O I-LOC I-LOC O O O O O I-LOC I-LOC O O O I-LOC I-LOC O O O O O I-MISC I-MISC I-MISC I-MISC O O O O
"While Machado was not a contestant here , she came under intense scrutiny following reports she was given an ultimatum by Los Angeles-based Miss Universe Inc. to drop 27 pounds ( 12 kg ) in two weeks or risk losing her crown .",O I-PER O O O O O O O O O O O O O O O O O O O I-MISC I-MISC I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O
"In Venezuela , her mother told Reuters that Machado had a swollen face when she left home two weeks ago because she had her wisdom teeth extracted .",O I-LOC O O O O I-ORG O I-PER O O O O O O O O O O O O O O O O O O O
"Marta Fajardo insisted her daughter , who weighed 112 pounds ( 51 kg ) when she won the Miss Universe title in Las Vegas in May , had perfectly normal eating habits .",I-PER I-PER O O O O O O O O O O O O O O O O I-MISC I-MISC O O I-LOC I-LOC O O O O O O O O O
""" Everybody has their own addiction to something or other but it 's not as if she eats cakes like crazy , "" she said .",O O O O O O O O O O O O O O O O O O O O O O O O O O
Organisers flatly denied ever threatening Machado but immediately put her under wraps and blocked access to her .,O O O O O I-PER O O O O O O O O O O O O
"Dressed in a black strapless evening gown at Wednesday 's pageant , Machado was clearly heavier than the contestants but still won rave reviews after her brief appearance on stage .",O O O O O O O O O O O O I-PER O O O O O O O O O O O O O O O O O O
""" Are you kidding ?",O O O O O
"She 's fantastic , "" said Nikki Campbell , 28 , who went to the pageant . """,O O O O O O I-PER I-PER O O O O O O O O O O
She looked great .,O O O O
"Very sexy . """,O O O O
Machado 's publicists said on Thursday she was scheduled to stay in Los Angeles for promotional work with sponsors before returning to Venezuela on Sept .,I-PER O O O O O O O O O O O I-LOC I-LOC O O O O O O O O I-LOC O O O
5 .,O O
Beauty queens are high-profile personalities in Venezuela and Machado 's alleged weight problem made front page news this week .,O O O O O O I-LOC O I-PER O O O O O O O O O O O
It was an official of the Miss Venezuela Organisation who first said Machado had been told to lose weight fast .,O O O O O O I-ORG I-ORG I-ORG O O O I-PER O O O O O O O O
"People close to her said she then eased up on her diet and indulged her passion for pasta and cake , but it was not clear how many pounds she gained and most people who saw her said she was still a long way from being fat .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Martin Brooks , president of Miss Universe Inc , said he spoke with Machado to assure her that organisers were not putting pressure on her .",I-PER I-PER O O O I-ORG I-ORG I-ORG O O O O O I-PER O O O O O O O O O O O O
""" She 's fine with it .",O O O O O O O
"She wished , as we all did , that it had n't happened but she 's spiritually and mentally terrific .",O O O O O O O O O O O O O O O O O O O O O
"There 's no problem whatsoever , "" he told Reuters .",O O O O O O O O O I-ORG O
He said the lifestyle associated with being Miss Universe could make routine exercise difficult .,O O O O O O O I-MISC I-MISC O O O O O O
""" The problem is they travel so much and are so busy that the ability to have any type of regimented routine workout does n't exist .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
I dont know if Alicia is working out .,O O O O I-PER O O O O
"We have n't talked about it because it has n't been an issue , "" he said .",O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
Kevorkian attends third suicide in week .,I-PER O O O O O O
"PONTIAC , Mich .",I-LOC O I-LOC O
1996-08-22,O
"Dr. Jack Kevorkian attended his third suicide in less than a week on Thursday , bringing the body of a 40-year-old Missouri woman suffering from multiple sclerosis to a hospital emergency room , doctors said .",O I-PER I-PER O O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O O O O O O
"Dr Robert Aranosian , emergency room director at Pontiac Osteopathic Hospital , said Kevorkian brought in the body of Patricia Smith , of Lees Summit , Mo .",O I-PER I-PER O O O O O I-LOC I-LOC I-LOC O O I-PER O O O O O I-PER I-PER O O I-LOC I-LOC O I-LOC O
", at midday and told doctors that she had been paralysed by the disease .",O O O O O O O O O O O O O O O
It was his second assisted-suicide in 36 hours and the 37th that he has acknowledged attending since starting his crusade for doctor assisted suicide in 1990 .,O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Kevorkian 's lawyer , Geoffrey Fieger , said those attending Smith 's death included her husband , David , a police officer , her father , James Poland , and Kevorkian .",I-PER O O O I-PER I-PER O O O O I-PER O O O O O O I-PER O O O O O O O O I-PER I-PER O O I-PER O
It was the first known time that a police officer has been president at the suicide of one of Kevorkian 's patients .,O O O O O O O O O O O O O O O O O O O I-PER O O O
He offered no details about the cause of Smith 's death or the location .,O O O O O O O O I-PER O O O O O O
"She was a nurse who had "" rapidly progressing multple sclerosis . """,O O O O O O O O O O O O O
"On Tuesday night , Kevorkian attended the death of Louise Siebens , a 76-year-old Texas woman with amyotrophic lateral sclerosis , or Lou Gehrig 's disease .",O O O O I-PER O O O O I-PER I-PER O O O I-LOC O O O O O O O I-PER I-PER O O O
"On August 15 , Kevorkian helped Judith Curren , a 42-year-old Massachusetts nurse , who suffered from chronic fatigue syndrome , a non-terminal illness , to end her life .",O O O O I-PER O I-PER I-PER O O O I-LOC O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
"Fairview , Texas , $ 1.82 million deal Baa1 - Moody 's .",I-LOC O I-LOC O O O O O O O I-ORG I-ORG O
NEW YORK 1996-08-22,I-LOC I-LOC O
Moody 's Investors Service -,I-ORG I-ORG I-ORG I-ORG O
Rating Announcement As of 08/21/96 .,O O O O O O
Issuer : Fairview Town,O O I-LOC I-LOC
State : TX,O O I-LOC
Rating : Baa1,O O O
"Sale Amount : 1,820,000",O O O O
Expected Sale Date : 08/27/96,O O O O O
"-- U.S. Municipal Desk , 212-859-1650",O I-ORG I-ORG I-ORG O O
-DOCSTART-,O
Defiant U.S. neo-Nazi jailed by German court .,O I-LOC I-MISC O O I-MISC O O
Andrew Gray,I-PER I-PER
"HAMBURG , Germany 1996-08-22",I-LOC O I-LOC O
A Hamburg court sentenced U.S. neo-Nazi leader Gary Lauck on Thursday to four years in prison for pumping banned extremist propaganda into Germany from his base in the United States .,O I-LOC O O I-LOC I-MISC O I-PER I-PER O O O O O O O O O O O O O I-LOC O O O O O I-LOC I-LOC O
"Lauck , from Lincoln , Nebraska , yelled a tirade of abuse at the court after his conviction for inciting racial hatred .",I-PER O O I-LOC O I-LOC O O O O O O O O O O O O O O O O O
""" The struggle will go on , "" the 43-year-old shouted in German before being escorted out by security guards .",O O O O O O O O O O O O I-MISC O O O O O O O O
"Lauck 's lawyer vowed he would appeal against the court 's decision , arguing that his client should have been set free because he had not committed any offence under German law .",I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-MISC O O
The German government hailed the conviction as a major victory in the fight against neo-Nazism .,O I-MISC O O O O O O O O O O O O I-MISC O
Lauck 's worldwide network has been the main source of anti-Semitic propaganda material flowing into Germany since the 1970s .,I-PER O O O O O O O O O I-MISC O O O O I-LOC O O O O
""" Lauck possessed a well-oiled propaganda machine , honed during more than 20 years , "" presiding judge Guenter Bertram told the court .",O I-PER O O O O O O O O O O O O O O O O I-PER I-PER O O O O
""" He set up a propaganda cannon and fired it at Germany . """,O O O O O O O O O O O I-LOC O O
"said Bertram , who also read out extracts from Lauck 's material praising Hitler as "" the greatest of all leaders "" and describing the Nazi slaughter of millions of Jews as a myth .",O I-PER O O O O O O O I-PER O O O I-PER O O O O O O O O O O O I-MISC O O O O I-MISC O O O O
"Eager to put Lauck behind bars quickly and avoid a long and complex trial , prosecutor Bernd Mauruschat limited his charges to offences since 1994 .",O O O I-PER O O O O O O O O O O O O I-PER I-PER O O O O O O O O
He had demanded a five-year jail term but said he was satisfied with the court 's sentence .,O O O O O O O O O O O O O O O O O O
"Publishing and distributing neo-Nazi material is illegal in Germany but Lauck 's defence team had argued that U.S freedom of speech laws meant he was free to produce his swastika-covered books , magazines , videos and flags in his homeland .",O O O I-MISC O O O O I-LOC O I-PER O O O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O
"Interior Minister Manfred Kanther said in a statement he "" welcomed the prosecution and conviction of one of the ringleaders of international neo-Nazism and biggest distributers of vicious racist publications "" .",O O I-PER I-PER O O O O O O O O O O O O O O O O O O I-MISC O O O O O O O O O
""" It is high time he was behind bars , "" the opposition Social Democrats said in a statement .",O O O O O O O O O O O O O I-MISC I-MISC O O O O O
"Lauck , dressed in a sober blue suit and sporting his trademark Hitleresque black moustache , showed no sign of emotion as Bertram spent more than an hour reading out the verdict and explaining the court 's decision .",I-PER O O O O O O O O O O O I-MISC O O O O O O O O O I-PER O O O O O O O O O O O O O O O O
"But as Lauck was about to be led away , he turned to reporters and blurted out a virtually incomprehensible quick-fire diatribe against the court .",O O I-PER O O O O O O O O O O O O O O O O O O O O O O O
""" Neither the National Socialists ( Nazis ) nor the communists dared to kidnap an American citizen , "" he shouted , in an oblique reference to his extradition to Germany from Denmark . """,O O O I-MISC I-MISC O I-MISC O O O O O O O O I-MISC O O O O O O O O O O O O O O I-LOC O I-LOC O O
"That 's the truth . """,O O O O O O
"His attorney , Hans-Otto Sieg , told reporters outside the courtroom that the judges had not explained how a German court could judge someone for actions carried out in the United States .",O O O I-PER I-PER O O O O O O O O O O O O O O I-MISC O O O O O O O O O O I-LOC I-LOC O
"Bertram said Lauck was obsessed by Nazism and devoted his life to leading his National Socialist German Workers ' Party Foreign Organisation ( NSDAP-AO ) , which derives its name from the full German title of Hitler 's Nazi party .",I-PER O I-PER O O O I-MISC O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O O O O O O I-MISC O O I-PER O I-MISC O O
"During the three-month trial , the court dealt mainly with issues of the NSDAP-AO 's "" NS Kampfruf "" ( "" National Socialist Battle Cry "" ) magazine , filled with references to Aryan supremacy and defamatory statements about Jews .",O O O O O O O O O O O O O I-ORG O O I-ORG I-ORG O O O I-ORG I-ORG I-ORG I-ORG O O O O O O O O I-MISC O O O O O I-MISC O
"The court rejected Sieg 's argument that Lauck 's extradition from Denmark , where he was arrested in March last year at the request of German authorities , was illegal .",O O O I-PER O O O I-PER O O O I-LOC O O O O O O O O O O O O O I-MISC O O O O O
Lauck was also convicted of disseminating the symbols of anti-constitutional organisations .,I-PER O O O O O O O O O O O
He will probably be free in around two and a half years .,O O O O O O O O O O O O O
The court ruled that the 15 months he has spent in custody since his arrest should be subtracted from his prison term .,O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
"UN official says Iraqi deal will occur "" soon "" .",I-ORG O O I-MISC O O O O O O O
UNITED NATIONS 1996-08-22,I-ORG I-ORG O
"A senior U.N. official said on Thursday he expected arrangements to implement the Iraqi oil-for-food deal could be completed "" quite soon . """,O O I-ORG O O O O O O O O O O I-MISC O O O O O O O O O O
""" I am reluctant to speculate but we are doing the preparations and the secretary-general is anxious to start the program , "" said Undersecretary-General Yasushi Akashi .",O O O O O O O O O O O O O O O O O O O O O O O O O I-PER I-PER O
""" It might be sooner than you think , "" he told reporters after briefing the Security Council on arrangements for monitors needed to carry out the agreement .",O O O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O O O O O O
Akashi is head of the Department of Humanitarian affairs .,I-PER O O O O I-ORG I-ORG I-ORG I-ORG O
His deputy earlier speculated at least 10 days .,O O O O O O O O O
-DOCSTART-,O
Suspected killers of bishop dead -- Algeria TV .,O O O O O O I-ORG I-ORG O
PARIS 1996-08-22,I-LOC O
"Algerian security forces have shot dead three Moslem guerrillas suspected of killing a leading French bishop in western Algeria , the Algerian state-run television said on Thursday .",I-MISC O O O O O O I-MISC O O O O O O I-MISC O O O I-LOC O O I-MISC O O O O O O
"Security forces also arrested four other men sought for giving support to the slain Moslem rebels , the television said .",O O O O O O O O O O O O O O I-MISC O O O O O O
"The television , which did not say when the security forces killed the rebels , said the four arrested men confessed details of the assassination of the French Roman Catholic Bishop Pierre Claverie .",O O O O O O O O O O O O O O O O O O O O O O O O O O O I-MISC I-MISC I-MISC O I-PER I-PER O
"The 58-year-old Claverie was killed in August 1 in a bomb blast at his residence in the western Algerian city of Oran , hours after he met visiting French Foreign Minister Herve de Charette in Algiers .",O O I-PER O O O O O O O O O O O O O O O I-MISC O O I-LOC O O O O O O I-MISC O O I-PER I-PER I-PER O I-LOC O
"An estimated 50,000 Algerians and more than 110 foreigners have been killed in Algeria 's violence pitting Moslem rebels against the Algerian government forces since early 1992 , when the authorities cancelled a general election in which radical Islamists took a commanding lead .",O O O I-MISC O O O O O O O O O I-LOC O O O I-MISC O O O I-MISC O O O O O O O O O O O O O O O O I-MISC O O O O O
-DOCSTART-,O
German flown cargo January-July rise 3.8 percent .,I-MISC O O O O O O O
FRANKFURT 1996-08-22,I-LOC O
The following table shows total flown air cargo volumes in tonnes handled at international German airports January-July 1996 .,O O O O O O O O O O O O O O I-MISC O O O O
The figures exclude trucked airfreight according to the German airports association ADV .,O O O O O O O O I-MISC O O I-ORG O
"Berlin ( total ) 17,844 up 5.9 pct",I-LOC O O O O O O O
"- Tegel 10,896 up 3.1",O I-LOC O O O
- Tempelhof 202 down 60.0,O I-LOC O O O
"- Schoenefeld 6,746 up 16.8",O I-LOC O O O
"Bremen 1,453 up 13.1",I-LOC O O O
Dresden 792 up 11.4,I-LOC O O O
"Duessseldorf 31,347 down 4.4",I-LOC O O O
"Frankfurt 768,269 up 1.5",I-LOC O O O
"Hamburg 21,240 down 3.5",I-LOC O O O
"Hannover 6,030 up 15.3",I-LOC O O O
"Koeln ( Cologne ) 182,887 up 11.8",I-LOC O I-LOC O O O O
"Leipzig / Halle 1,806 up 45.6",I-LOC O I-LOC O O O
"Munich 44,525 up 11.8",I-LOC O O O
Muenster / Osnabrueck 382 up 28.2,I-LOC O I-LOC O O O
"Nuremberg 25,929 up 17.8",I-LOC O O O
Saarbruecken 626 up 28.3,I-LOC O O O
"Stuttgart 10,655 up 11.7",I-LOC O O O
"TOTAL 1,113,785 up 3.8",O O O O
- Air Cargo Newsroom Tel+44 161 542 7706 Fax+44 171 542 5017,O I-ORG I-ORG I-ORG O O O O O O O O
-DOCSTART-,O
Paribas repeats buy on Aegon after results .,I-ORG O O O I-ORG O O O
AMSTERDAM 1996-08-22,I-LOC O
Summary of Aug 22 research .,O O O O O O
Company-------------Price---Broker----------------,O
Aegon 83.40 Paribas,I-ORG O I-ORG
"COMMENT : "" Not only did Aegon surprise with earnings of 711 million guilders , which were above the top of the expected range , it also forecast a similar performance in the second half . """,O O O O O O I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Reiterates previous "" buy "" recommendation after results .",O O O O O O O O O
Estimates ( Dfl ) : EPS P / E Dividend,O O I-MISC O O O O O O O
1996 5.83 13.8 2.75,O O O O
1997 6.59 12.2 3.10,O O O O
"-- Amsterdam newsroom , +31 20 504 5000 ( Fax +31 20 504 5040 )",O I-LOC O O O O O O O O O O O O O
-DOCSTART-,O
Clinton 's Ballybunion fans invited to Chicago .,I-PER O I-ORG O O O I-LOC O
DUBLIN 1996-08-22,I-LOC O
U.S. President Bill Clinton had to drop the resort of Ballybunion from a whirlwind Irish tour last year .,I-LOC O I-PER I-PER O O O O O O I-ORG O O O I-MISC O O O O
So Ballybunion is going to America instead .,O I-ORG O O O I-LOC O O
"Two residents of the Atlantic resort , where Clinton was to have played golf with the Irish Foreign Minister Dick Spring , have been invited to the Democratic party convention in Chicago on August 26-29 .",O O O O I-LOC O O O I-PER O O O O O O O I-MISC O O I-PER I-PER O O O O O O I-MISC O O O I-LOC O O O O
"They have been asked to bring with them the placards they waved when Clinton addressed Ireland at a packed ceremony in Dublin city centre on December 1 , last year .",O O O O O O O O O O O O O I-PER O I-LOC O O O O O I-LOC O O O O O O O O O
"They read : "" Ballybunion backs Clinton . """,O O O O I-ORG O I-PER O O
""" The Democratic party have requested we bring our placards with us .",O O I-MISC O O O O O O O O O O
"We will be guests of the Kennedys , "" said Frank Quilter , one of the two who have been invited to Chicago .",O O O O O O I-PER O O O I-PER I-PER O O O O O O O O O O I-LOC O
Clinton made a triumphant Irish tour to back a Northern Ireland peace process but was forced to drop Ballybunion from a packed schedule at the last minute .,I-PER O O O I-MISC O O O O I-LOC I-LOC O O O O O O O I-ORG O O O O O O O O O
-DOCSTART-,O
Bonn says Moscow has promised to observe ceasefire .,I-LOC O I-LOC O O O O O O
BONN 1996-08-22,I-LOC O
Germany said on Thursday it had received assurances from the Russian government that its forces would observe the latest ceasefire in Chechnya .,I-LOC O O O O O O O O O I-MISC O O O O O O O O O O I-LOC O
Foreign Ministry spokesman Martin Erdmann said top Bonn diplomat Wolfgang Ischinger had been assured by senior Russian officials that the ultimatum to storm and take the Chechen capital of Grozny was not valid .,I-ORG I-ORG O I-PER I-PER O O I-LOC O I-PER I-PER O O O O O I-MISC O O O O O O O O O I-MISC O O I-LOC O O O O
""" The Russian side confirmed that the ceasefire is in place and they will keep to it , "" Erdmann told Reuters after speaking by telephone to Ischinger , who had met the officials on a two-day visit to Moscow .",O O I-MISC O O O O O O O O O O O O O O O O I-PER O I-ORG O O O O O I-PER O O O O O O O O O O O I-LOC O
He returned to Bonn on Thursday .,O O O I-LOC O O O
Ischinger is the political director of Bonn 's foreign ministry .,I-PER O O O O O I-LOC O O O O
"Ischinger said he met three Russian deputy foreign ministers and a vice defence minister , who confirmed Russian Foreign Minister Yevgeny Primakov 's pledge that Moscow would seek a political solution under the aegis of the Organisation for Security and Cooperation in Europe ( OSCE ) .",I-PER O O O O I-MISC O O O O O O O O O O O I-MISC O O I-PER I-PER O O O I-LOC O O O O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O I-ORG O O
""" The ultimatum ( to storm Grozny ) is no longer an issue , "" he said quoting Ischinger , who had been sent to Moscow by German Foreign Minister Klaus Kinkel as his personal envoy to urge an end to Moscow 's military campaign in the breakaway region .",O O O O O O I-LOC O O O O O O O O O O O I-PER O O O O O O I-LOC O I-MISC O O I-PER I-PER O O O O O O O O O I-LOC O O O O O O O O
Ischinger said the threat of a major assault to take Grozny had been the unauthorised initiative of the commanding general and not Moscow 's intention .,I-PER O O O O O O O O O I-LOC O O O O O O O O O O O I-LOC O O O
"The officials had been positive about Kinkel 's request on Wednesday that President Boris Yeltsin 's security chief Alexander Lebed should , on his return to Moscow , meet Tim Goldiman , the OSCE representative responsible for Chechnya , he said .",O O O O O O I-PER O O O O O O I-PER I-PER O O O I-PER I-PER O O O O O O I-LOC O O I-PER I-PER O O I-ORG O O O I-LOC O O O O
-DOCSTART-,O
"India says sees no arms race with China , Pakistan .",I-LOC O O O O O O I-LOC O I-LOC O
NEW DELHI 1996-08-22,I-LOC I-LOC O
India said on Thursday that its opposition to a global nuclear test ban treaty did not mean New Delhi intended to enter into an arms race with neighbouring Pakistan and China .,I-LOC O O O O O O O O O O O O O O O O I-LOC I-LOC O O O O O O O O O I-LOC O I-LOC O
Foreign Minister I.K. Gujral was asked at a news conference if India 's decision to block adoption of the accord in Geneva would lead to an arms race with Pakistan and China .,O O I-PER I-PER O O O O O O O I-LOC O O O O O O O O O I-LOC O O O O O O O I-LOC O I-LOC O
""" I do n't see that possibility because India is not entering into any arms race , "" he said . """,O O O O O O O O I-LOC O O O O O O O O O O O O O
"Our not signing a new treaty does not mean we are going in for any new kind of weapons , particularly nuclear . """,O O O O O O O O O O O O O O O O O O O O O O O O
"China , along with Britain , France , Russia and the United States , is a declared nuclear power .",I-LOC O O O I-LOC O I-LOC O I-LOC O O I-LOC I-LOC O O O O O O O
India carried out a nuclear test in 1974 but says it has not built the bomb .,I-LOC O O O O O O O O O O O O O O O O
Experts believe both India and Pakistan could quickly assemble nuclear weapons .,O O O I-LOC O I-LOC O O O O O O
